trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
2.248419999999999933e-02	-6.831009999999999860e-02	-3.299629999999999924e-02	6.617439999999999925e-24	1.151490000000000049e-04	4.684210000000000066e-04
2.250769999999999854e-02	-4.001520000000000077e-02	-8.182550000000000240e-03	0.000000000000000000e+00	-2.430999999999999933e-05	1.897489999999999886e-04
1.674149999999999944e-02	-4.002359999999999945e-02	-1.256610000000000019e-02	-1.654359999999999981e-24	3.021480000000000080e-05	3.936330000000000037e-04
2.325150000000000133e-02	-6.546059999999999379e-02	-4.141530000000000038e-03	3.454819999999999831e-04	5.729650000000000276e-05	2.361619999999999930e-04
2.324729999999999852e-02	-2.580299999999999955e-02	-4.168859999999999927e-03	0.000000000000000000e+00	-1.206139999999999941e-04	4.684210000000000066e-04
2.325349999999999986e-02	-4.725780000000000258e-02	-4.158320000000000072e-03	4.052239999999999813e-04	-1.206139999999999941e-04	2.296490000000000098e-04
2.557390000000000010e-02	-5.276099999999999714e-03	-4.159450000000000300e-03	-4.019879999999999873e-04	-3.258989999999999777e-05	4.684220000000000224e-04
2.675369999999999832e-02	-5.038870000000000154e-02	-1.687570000000000042e-02	9.444559999999999577e-05	3.314230000000000149e-04	-5.833869999999999762e-05
2.320600000000000093e-02	4.516730000000000050e-03	-4.136929999999999601e-03	-4.891000000000000165e-04	4.977179999999999669e-04	-5.833879999999999784e-05
2.320530000000000162e-02	-5.847259999999999958e-02	-4.131899999999999983e-03	3.248890000000000263e-04	4.977179999999999669e-04	1.440329999999999981e-05
2.011539999999999856e-02	1.434249999999999935e-02	1.651100000000000137e-02	-5.182150000000000385e-04	4.172210000000000090e-04	-5.833879999999999784e-05
2.321020000000000028e-02	-4.310409999999999936e-02	-7.817779999999999868e-03	2.750399999999999959e-05	3.789439999999999822e-04	-5.833869999999999762e-05
2.320600000000000093e-02	4.379939999999999702e-03	2.632330000000000086e-02	-4.716210000000000031e-05	4.977179999999999669e-04	-5.833879999999999784e-05
2.322650000000000062e-02	-4.899289999999999895e-02	2.632759999999999961e-02	2.332719999999999987e-04	1.661509999999999886e-04	-5.833879999999999784e-05
1.411300000000000054e-02	-2.170079999999999926e-02	1.331970000000000029e-02	6.332710000000000292e-04	3.250369999999999849e-05	-5.833869999999999762e-05
1.564959999999999962e-02	1.392449999999999938e-03	-4.389480000000000291e-03	-4.716210000000000031e-05	1.542739999999999903e-06	4.644960000000000061e-04
2.321959999999999996e-02	-3.528669999999999723e-02	-4.390299999999999758e-03	4.538209999999999770e-04	-3.871219999999999842e-05	1.210330000000000048e-04
7.145150000000000286e-03	-1.214840000000000017e-02	-1.174420000000000021e-03	-4.716210000000000031e-05	2.291660000000000010e-05	1.098919999999999975e-04
2.321919999999999887e-02	-4.003349999999999964e-02	1.544720000000000077e-03	6.473800000000000257e-04	2.291660000000000010e-05	-5.833879999999999784e-05
