component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_00	0	424.9843552277	0.2243233502	0.2243233502	True
t_comp_cor_01	0	411.9061495664	0.2107294086	0.4350527588	True
t_comp_cor_02	0	209.5777247315	0.0545530252	0.4896057840	True
t_comp_cor_03	0	190.2579791341	0.0449587632	0.5345645472	True
t_comp_cor_04	0	174.5675146437	0.0378490911	0.5724136383	True
t_comp_cor_05	0	151.9392995882	0.0286727162	0.6010863545	True
t_comp_cor_06	0	120.8807574781	0.0181485922	0.6192349467	True
t_comp_cor_07	0	109.6508204369	0.0149331823	0.6341681291	True
t_comp_cor_08	0	104.9932721145	0.0136915160	0.6478596451	True
t_comp_cor_09	0	101.5230609147	0.0128014158	0.6606610608	True
t_comp_cor_10	0	97.0186501354	0.0116906606	0.6723517214	True
t_comp_cor_11	0	94.9888234791	0.0112065934	0.6835583148	True
t_comp_cor_12	0	92.7467786729	0.0106838127	0.6942421275	True
t_comp_cor_13	0	87.5324473860	0.0095162696	0.7037583972	True
t_comp_cor_14	0	82.8228172316	0.0085197842	0.7122781814	True
t_comp_cor_15	0	81.7757701873	0.0083057314	0.7205839128	True
t_comp_cor_16	0	75.5904863860	0.0070968051	0.7276807178	True
t_comp_cor_17	0	70.7351267656	0.0062143952	0.7338951131	True
t_comp_cor_18	0	69.4396675000	0.0059888559	0.7398839689	True
t_comp_cor_19	0	68.7024606285	0.0058623694	0.7457463383	True
t_comp_cor_20	0	63.8727118892	0.0050670981	0.7508134364	True
t_comp_cor_21	0	62.6716087282	0.0048783200	0.7556917564	True
t_comp_cor_22	0	62.1099926058	0.0047912800	0.7604830364	True
t_comp_cor_23	0	59.6048024982	0.0044125649	0.7648956012	True
t_comp_cor_24	0	58.9801402460	0.0043205616	0.7692161628	True
t_comp_cor_25	0	56.9556431544	0.0040290450	0.7732452078	True
t_comp_cor_26	0	54.5492460671	0.0036957799	0.7769409877	True
t_comp_cor_27	0	53.7331195768	0.0035860200	0.7805270077	True
t_comp_cor_28	0	52.6301171611	0.0034403076	0.7839673153	True
t_comp_cor_29	0	51.4137931594	0.0032831286	0.7872504438	True
t_comp_cor_30	0	50.6408096485	0.0031851499	0.7904355937	True
t_comp_cor_31	0	50.1693053783	0.0031261137	0.7935617075	True
t_comp_cor_32	0	49.8831493035	0.0030905539	0.7966522614	True
t_comp_cor_33	0	48.1832093708	0.0028835006	0.7995357620	True
t_comp_cor_34	0	46.2115185984	0.0026523393	0.8021881013	True
t_comp_cor_35	0	45.2682384221	0.0025451641	0.8047332653	True
t_comp_cor_36	0	45.2085219159	0.0025384535	0.8072717189	True
t_comp_cor_37	0	43.6546891753	0.0023669572	0.8096386760	True
t_comp_cor_38	0	43.1124620924	0.0023085232	0.8119471992	True
t_comp_cor_39	0	42.4758309562	0.0022408478	0.8141880471	True
t_comp_cor_40	0	42.2383800210	0.0022158640	0.8164039111	True
t_comp_cor_41	0	41.5138261537	0.0021404945	0.8185444056	True
t_comp_cor_42	0	41.1333055270	0.0021014343	0.8206458399	True
